plate,compound,well,site,mean_C1,std_C1,median_C1,mad_C1,mean_C2,std_C2,median_C2,mad_C2,mean_C3,std_C3,median_C3,mad_C3,mean_C4,std_C4,median_C4,mad_C4,mean_C5,std_C5,median_C5,mad_C5
P015090,CBK308657,E02,s8,0.042273019547325103862,82.25367259271241949,-2.0,20.0,-4.2267406121399178076,603.6113674412446244,-8.0,31.0,0.053831232853223595636,157.9837420192820332,-4.0,31.0,0.08297046467764060407,165.64596799123773962,-4.0,32.0,0.11100137174211248403,193.65968086427022854,-4.0,25.0
P015090,CBK308657,E02,all,0.037538708847736627916,77.44003973355407311,-1.0,20.0,-2.4231380744170096797,506.316854328668569,-7.0,30.0,0.036571330589849106174,138.94744535286537257,-3.0,31.0,0.0501760116598079578,161.0168035542175744,-4.0,31.0,0.078883616255144034524,162.14899325319166223,-4.0,24.0
P015090,CBK308657,I10,s2,0.051009516460905346413,67.64201912460438848,-1.0,20.0,-1.0364248971193414928,301.69704584466478536,-5.0,29.0,0.037605238340192047308,89.191580683394050766,-2.0,29.0,0.065340792181069959343,90.423789056591857616,-2.0,30.0,0.109275120027434835546,93.15263768976403469,-3.0,22.0
P015090,CBK308657,I10,s4,0.051625085733882032646,113.39739579918463619,-1.0,20.0,-0.5379638203017832465,467.51703417168823762,-5.0,30.0,0.03503965192043895921,157.50447508212542402,-3.0,30.0,0.055250985939643344758,209.63440056494320629,-3.0,31.0,0.09781528635116598647,244.0833241585686153,-3.0,23.0
P015090,CBK308657,I10,s5,0.034402220507544579997,109.68082714318609305,-2.0,20.0,-0.13052169067215363407,458.59520167341514707,-6.0,29.0,0.040934070644718795196,147.48191338425965569,-3.0,30.0,0.045764531893004112284,173.03761915198006704,-3.0,31.0,0.07572187928669410484,208.51601082124886943,-4.0,23.0
P015090,CBK308657,I10,s6,0.039909336419753083103,71.33176166956417319,-1.0,20.0,-2.1651202417695474267,400.6897091678488323,-5.0,29.0,0.03648405349794238417,118.00821440916334382,-3.0,29.0,0.04822938100137174472,118.48270740482875851,-3.0,30.0,0.08464184670781893516,129.7259706211002026,-4.0,22.0
P015090,CBK308657,I10,s8,0.041735896776406038178,96.3348359821765996,-2.0,20.0,-0.6207713906035665641,489.56471417122008916,-7.0,31.0,0.039523962620027434933,148.22783766485289902,-4.0,30.0,0.049030135459533608078,174.04118304764105574,-4.0,31.0,0.0943106995884773619,221.8724359082043236,-4.0,23.0
P015090,CBK308657,I10,all,0.043736411179698217455,93.63003474937276849,-1.0,20.0,-0.89816040809327846173,428.98277735923477394,-6.0,30.0,0.03791739540466392,134.47017740789763707,-3.0,30.0,0.05272316529492455245,158.99279654731338951,-3.0,30.0,0.092352966392318242006,188.56787411557903056,-4.0,23.0
P015090,CBK308657,J18,s2,0.03961076817558299018,81.05480638875076238,-2.0,20.0,-1.4646036951303154083,404.25733401888294338,-7.0,34.0,0.038879243827160493707,120.406684091858565466,-4.0,32.0,0.04580439814814814964,117.936629536069119695,-3.0,32.0,0.08182998971193415627,180.47681332854057246,-4.0,23.0
P015090,CBK308657,J18,s4,0.040402949245541837364,123.06736478034697768,-2.0,20.0,-0.24573666838134430868,569.6691487939815488,-7.0,35.0,0.023162294238683128755,185.5673358084937945,-4.0,32.0,0.029280692729766803067,221.61440500391617547,-4.0,33.0,0.068920396090534977174,326.80523632850838567,-4.0,24.0
P015090,CBK308657,J18,s5,0.053123499657064469914,119.854468988860645595,-2.0,20.0,-0.4817547582304526621,506.78207311070951846,-7.0,34.0,0.026431112825788753012,152.99917072247365013,-4.0,32.0,0.033760502400548696167,181.71097263423132517,-3.0,32.0,0.052150205761316875686,241.73118226373739503,-4.0,24.0
P015090,CBK308657,J18,s6,0.040378515089163236063,76.41122359101626671,-2.0,20.0,-1.3562360682441700899,336.38825150975054612,-7.0,34.0,0.049261616941015086424,117.14049576935704522,-4.0,31.0,0.06357553155006859247,104.686393071319628234,-4.0,32.0,0.13459555041152262977,132.87109177198621524,-6.0,23.0
P015090,CBK308657,J18,s8,0.03208547668038409101,85.6252468143079426,-2.0,20.0,-0.08581768689986282728,390.24081308480992902,-8.0,36.0,0.022198216735253770843,119.5500544694108811,-4.0,32.0,0.023754715363511660908,132.77206872536652327,-4.0,33.0,0.057016889574759942183,227.8491012482837732,-5.0,24.0
P015090,CBK308657,J18,all,0.041120241769547323518,99.24808296547006137,-2.0,20.0,-0.72682977537722903705,449.49340187406590985,-7.0,35.0,0.031986496913580249324,141.67276644254948792,-4.0,32.0,0.03923516803840877698,157.8787729871969816,-4.0,32.0,0.078902606310013723157,231.2476817154215496,-5.0,24.0
P015090,CBK308657,all,all,0.040798453932327387317,90.579109351647758785,-2.0,20.0,-1.3493760859625056892,462.75589054344220585,-7.0,31.0,0.035491740969364422853,138.39532018825801174,-3.0,31.0,0.047378114997713764722,159.301420209360856,-3.0,31.0,0.08337972965249200452,196.06600043304891301,-4.0,23.0
P015090,CBK308696,D04,s2,0.029918552812071331354,83.3763257923369423,-1.0,20.0,-1.8840995799039781389,471.40185354555740105,-6.0,32.0,0.028548525377229079514,128.12080816978192388,-3.0,28.0,0.03478652263374485548,135.49329406994789338,-3.0,28.0,0.069845036008230457214,158.0214330157444067,-4.0,24.0
P015090,CBK308696,D04,s4,0.038085776748971192363,82.400612234555737246,-1.0,20.0,-1.8117138203017832954,494.21331493260970547,-7.0,34.0,0.040014789094650206336,148.33599238127763442,-3.0,29.0,0.051869855967078187797,155.89727558333632373,-3.0,29.0,0.093451646090534981615,173.01804169167266423,-3.0,24.0
P015090,CBK308696,D04,s5,0.023153935185185183648,95.501969776807882795,-2.0,20.0,-0.0103894461591220853974,485.73653954707310731,-7.0,33.0,0.02644633058984910759,148.42156748510819853,-3.0,28.0,0.024179312414266119352,175.1953030811697829,-3.0,28.0,0.05365162037037037035,186.84633003240037397,-4.0,24.0
P015090,CBK308696,D04,s6,0.03615247770919067377,69.34781244267907141,-2.0,20.0,-0.64176118827160488767,345.34741808707838118,-7.0,34.0,0.032113768861454047854,105.91802713764364796,-3.0,29.0,0.039345207475994514734,106.59409153168319051,-3.0,29.0,0.072588520233196160425,115.08470057783098639,-4.0,25.0
P015090,CBK308696,D04,s8,0.041344092935528119204,127.98194211557481026,-3.0,21.0,-0.1569324417009602124,636.44573717465630125,-11.0,39.0,0.03493184156378600913,208.73233282235182173,-5.0,33.0,0.040495541838134432866,242.41475359217164964,-5.0,32.0,0.079127229080932781624,267.46133903769907647,-6.0,28.0
P015090,CBK308696,D04,all,0.033730967078189302844,93.86223483167300685,-2.0,20.0,-0.9009792952674897659,495.32569476837545608,-8.0,34.0,0.032411051097393686615,151.81257205479960248,-3.0,29.0,0.038135288065843618577,169.40070897430734931,-3.0,29.0,0.07373281035665295302,186.86766660666609141,-4.0,25.0
P015090,CBK308696,F23,s2,0.023926826131687242705,72.696996448276706815,-1.0,20.0,-3.7550042866941013564,536.3889555692767317,-7.0,37.0,0.010623070987654321257,148.06782833850272141,-3.0,30.0,0.010559842249657063959,115.01869150108063877,-3.0,30.0,0.051499699931412894205,133.99827958414766726,-4.0,23.0
P015090,CBK308696,F23,s4,0.034140732167352534632,81.414078938533293694,-1.0,19.0,-1.359523319615912218,414.90067985098392,-5.0,35.0,0.022512002743484225281,104.07808040528988158,-2.0,28.0,0.026448902606310012442,112.18814550131341434,-2.0,29.0,0.05765667866941014824,140.0642426726182066,-2.0,22.0
P015090,CBK308696,F23,s5,0.024981567215363511408,70.70122420173360922,-1.0,20.0,-0.21565436385459532675,373.96468505813544425,-7.0,36.0,0.022478780864197529799,102.18061504097121883,-3.0,30.0,0.024308556241426613337,94.28457262500275249,-3.0,30.0,0.049609267832647463425,129.77527376893672795,-3.0,23.0
