plate,well,site,bf_site,nuclei_count
P015091,N04,s6,s4,0
P015091,N04,s8,s5,1
P015091,N07,s2,s1,192
P015091,N07,s4,s2,58
P015091,N07,s5,s3,98
P015091,N07,s6,s4,118
P015091,N07,s8,s5,78
P015091,N19,s2,s1,56
P015091,N19,s4,s2,19
P015091,N19,s5,s3,27
P015091,N19,s6,s4,1
P015091,N19,s8,s5,26
P015091,O04,s2,s1,174
P015091,O04,s4,s2,68
P015091,O04,s5,s3,84
P015091,O04,s6,s4,112
P015091,O04,s8,s5,84
P015091,O12,s2,s1,34
P015091,O12,s4,s2,18
P015091,O12,s5,s3,0
P015091,O12,s6,s4,0
P015091,O12,s8,s5,0
P015091,O22,s2,s1,52
P015091,O22,s4,s2,44
P015091,O22,s5,s3,19
P015091,O22,s6,s4,1
P015091,O22,s8,s5,8
P015091,B08,s2,s1,100
P015091,B08,s4,s2,101
P015091,B08,s5,s3,111
P015091,B08,s6,s4,111
P015091,B08,s8,s5,183
P015091,N05,s2,s1,183
P015091,N05,s4,s2,99
P015091,N05,s5,s3,113
P015091,N05,s6,s4,164
P015091,N05,s8,s5,73
P015092,B20,s2,s1,70
P015092,B20,s4,s2,138
P015092,B20,s5,s3,57
P015092,B20,s6,s4,47
P015092,B20,s8,s5,93
P015092,C21,s2,s1,15
P015092,C21,s4,s2,43
P015092,C21,s5,s3,3
P015092,C21,s6,s4,0
P015092,C21,s8,s5,48
P015092,D04,s2,s1,32
P015092,D04,s4,s2,39
P015092,D04,s5,s3,44
P015092,D04,s6,s4,57
P015092,D04,s8,s5,63
P015092,D13,s2,s1,33
P015092,D13,s4,s2,29
P015092,D13,s5,s3,22
P015092,D13,s6,s4,29
P015092,D13,s8,s5,34
P015092,D18,s2,s1,51
P015092,D18,s4,s2,73
P015092,D18,s5,s3,41
P015092,D18,s6,s4,46
P015092,D18,s8,s5,79
P015092,E21,s2,s1,108
P015092,E21,s4,s2,119
P015092,E21,s5,s3,82
P015092,E21,s6,s4,95
