plate,compound,well,mean_C1,std_C1,median_C1,mad_C1,mean_C2,std_C2,median_C2,mad_C2,mean_C3,std_C3,median_C3,mad_C3,mean_C4,std_C4,median_C4,mad_C4,mean_C5,std_C5,median_C5,mad_C5,mean_C6,std_C6,median_C6,mad_C6
P015076,dmso,L02,11168.049972179355,746.5414904877202,11226.0,550.0,11167.135693972908,740.7308438871244,11225.0,546.0,11166.039787637174,737.8432930745184,11222.0,546.0,11165.38385832476,740.6864549226493,11219.0,547.0,11164.833198045268,744.6547466726408,11218.0,548.0,11163.924740955075,745.47264020976,11217.0,548.0
P015076,dmso,L22,11988.744845979081,1007.9271923855179,12106.0,754.0,11982.677151105967,999.9171965548777,12101.0,743.0,11976.13409122085,995.3248949209559,12090.0,742.0,11971.343682998971,997.6578249798771,12081.0,747.0,11967.238258659123,1003.0973426881176,12075.0,752.0,11959.6241405607,1003.0264865818673,12069.0,750.0
P015076,dmso,M07,10709.037177854938,755.4003458719305,10752.0,539.0,10712.644329818244,749.1975344132043,10758.0,533.0,10708.172798225309,744.4105884113485,10747.0,530.0,10706.964876286009,746.6915295542573,10741.0,532.0,10705.611165252058,749.589227153429,10739.0,535.0,10704.833890775035,750.0743851172317,10739.0,535.0
P015076,dmso,M18,11085.583518904321,786.7653186191845,11121.0,562.0,11084.384493012689,781.328784169421,11119.0,560.0,11085.611953446502,781.7539160275975,11117.0,559.0,11083.802024391289,784.7322941109725,11113.0,558.0,11081.331799211248,787.2295890295358,11109.0,558.0,11087.038737439987,790.1860989111572,11118.0,561.0
P015076,dmso,N09,9674.770556927298,629.8858131509157,9702.0,478.0,9673.938107081618,623.7790954269477,9704.0,476.0,9673.0267344393,621.4403695518744,9703.0,471.0,9671.863385202332,622.9331563427606,9697.0,469.0,9671.603881687242,625.2547944900876,9694.0,471.0,9673.053583204732,628.5581079737674,9696.0,476.0
P015076,dmso,N21,10889.152048010974,835.6725649356644,10922.0,539.0,10887.05432145919,829.279235873759,10919.0,537.0,10885.683912465707,823.5620358001711,10912.0,534.0,10884.213700188615,824.8034665659982,10906.0,535.0,10876.599126886145,828.5169233278508,10894.0,538.0,10875.338493912894,829.7509101478978,10894.0,540.0
P015076,dmso,O04,9904.974165594993,892.192215713961,9946.0,675.0,9902.018811171125,886.8924123973795,9943.0,670.0,9899.424714291838,885.8383653911509,9934.0,667.0,9896.569220121743,888.3507755985246,9927.0,669.0,9893.953567515433,889.861530252219,9924.0,671.0,9891.177429912552,889.4045057497586,9922.0,672.0
P015076,dmso,all,10482.745261828893,1323.807907386054,10474.0,936.0,10482.062050452008,1319.4543672386799,10472.0,934.0,10481.134888119665,1318.1126955725917,10470.0,931.0,10479.760585157559,1319.039761707786,10470.0,932.0,10477.362066179412,1320.5519796665192,10467.0,933.0,10476.353867822168,1320.8315253267237,10467.0,933.0
P015077,CBK041182,C07,12661.64486282579,563.0091822475247,12689.0,361.0,12660.427906421468,562.5418571816,12689.0,361.0,12659.462902391975,560.0318126837237,12687.0,359.0,12658.20300685871,558.5210842974018,12683.0,359.0,12657.047606910151,560.5941261307253,12680.0,361.0,12656.443686771261,563.7945048985516,12679.0,363.0
P015077,CBK041182,M12,10430.3767085048,718.0116741261908,10501.0,504.0,10431.148133701989,712.3422168956644,10505.0,501.0,10428.686724022633,706.7020620279118,10501.0,499.0,10427.217850008574,707.7351467086169,10494.0,500.0,10426.398750171467,711.3448526639794,10491.0,502.0,10423.484759044924,711.9358116113644,10488.0,502.0
P015077,CBK041182,N15,12133.64707497428,843.8357047225976,12095.0,575.0,12131.61187795782,837.208251110495,12092.0,573.0,12131.845709876543,834.391784942545,12092.0,571.0,12129.892289694788,836.4253619216976,12090.0,571.0,12128.372148276749,839.6533573709349,12088.0,572.0,12148.61442502572,861.9818788650883,12098.0,578.0
