plate,compound,well,mean_C1,std_C1,median_C1,mad_C1,mean_C2,std_C2,median_C2,mad_C2,mean_C3,std_C3,median_C3,mad_C3,mean_C4,std_C4,median_C4,mad_C4,mean_C5,std_C5,median_C5,mad_C5
P015098,CBK309437,F02,222.6429412913428,147.1502746156263,203.0,20.0,769.1473312709571,878.5717612630935,579.0,71.0,962.5289170619951,695.4718205664838,789.0,57.0,666.4271807603643,634.9123375148635,518.0,43.0,349.6240896966926,450.27345819888114,242.0,26.0
P015098,CBK309437,J21,215.1589888641213,146.9922740493395,198.0,19.0,1304.6957338820303,893.867285055568,1139.0,107.0,880.1548923087182,581.7213918238068,762.0,55.0,606.6737518813824,559.2281356200527,501.0,41.0,309.3188122046944,422.0509533049921,226.0,23.0
P015098,CBK309437,K09,221.17175225765888,144.3953371591316,204.0,20.0,834.7600642765966,955.5283302755681,649.0,64.0,938.1940210143271,570.5257604910908,817.0,58.0,649.6183949188386,546.9878661829267,540.0,44.0,318.313266746685,410.6715417230418,232.0,24.0
P015098,CBK309437,all,219.65789413770767,146.22059563609946,202.0,20.0,969.534376476528,940.6688527414653,698.0,176.0,926.9592767950135,619.452054503269,789.0,59.0,640.9064425201951,582.2212045412275,520.0,45.0,325.75205621602396,428.3377057903494,233.0,25.0
P015098,CBK309466,D21,287.48018820968605,284.3217577935098,209.0,24.0,1756.195048725423,1318.5753961083774,1263.0,216.0,1395.5227083571483,744.1275861508602,1013.0,210.0,994.5668802154778,768.9972449709329,671.0,136.0,592.142547987159,689.5639236717694,312.0,85.0
P015098,CBK309466,E13,284.59047165542603,270.4890469771302,215.0,24.0,1293.7226121446806,1236.3178739350756,848.0,150.0,1290.616284103033,708.3201223261375,947.0,153.0,945.0754689643347,780.6802412914502,634.0,107.0,544.9966266337068,642.351537213219,293.0,66.0
P015098,CBK309466,F12,300.55790416380887,292.7161383503102,217.0,26.0,1406.7586677907332,1313.8806749976984,888.0,191.0,1357.7078085705305,733.6769589391846,976.0,213.0,1005.1829073311995,812.3898398779086,659.0,140.0,593.8299175049535,684.7378451429856,314.0,90.0
P015098,CBK309466,all,290.8761880096403,282.74293555131413,214.0,25.0,1485.558776220279,1305.0747043365393,1073.0,300.0,1347.9489336769038,730.1531055481327,979.0,193.0,981.608418837004,788.0046506859538,653.0,127.0,576.9896973752731,672.9330271857202,305.0,80.0
P015098,CBK309538,D05,285.05921975022864,258.9206325142988,214.0,25.0,1165.6611088725042,1126.453069389581,723.0,173.0,1415.467083595298,794.8597724339735,1001.0,267.0,1015.4214274929508,806.8851668958217,662.0,163.0,610.2930714401386,676.2012392360955,325.0,103.0
P015098,CBK309538,G06,275.498464387098,245.63610857062284,212.0,24.0,1064.3938489035588,1038.6239471205563,716.0,132.0,1314.8857060185185,716.8212120257162,946.0,189.0,961.1478184775568,756.3214474684478,650.0,133.0,574.9836690291114,604.4830299127756,320.0,80.0
P015098,CBK309538,I16,289.25078384583145,275.61696101126137,212.0,25.0,1489.744010083257,1180.6107893500728,1035.0,220.0,1414.0919402291952,756.8777622477834,1109.0,320.0,1025.7587563585962,812.4319585918936,702.0,177.0,613.9765393518519,654.5546069816927,347.0,115.0
P015098,CBK309538,all,283.2694893277193,260.41061730795616,213.0,25.0,1239.93298928644,1131.4023606624116,864.0,242.0,1381.4815766143372,758.3209776229955,989.0,244.0,1000.7760007763679,792.7884356773517,668.0,157.0,599.7510932737007,646.0176738659218,327.0,98.0
P015098,CBK309601,C10,233.16570135078493,168.7964512179757,207.0,21.0,923.6936368074607,1127.2577269321416,659.0,69.0,1005.2721923344384,512.3728632063948,871.0,68.0,705.2680332171163,518.1419800251454,572.0,51.0,337.77404997332724,373.18628364246655,241.0,28.0
P015098,CBK309601,F20,250.2355248580628,191.83484203101997,205.0,23.0,1438.5494878353147,1440.675567742936,1059.0,117.0,1033.2103433641976,531.4588811308337,882.0,75.0,735.7236269004344,553.3746275408566,578.0,56.0,361.7688583819159,368.19741864024905,257.0,33.0
P015098,CBK309601,O15,228.9425715163466,167.2963668770772,203.0,20.0,1064.9097329865874,1148.993339534448,795.0,83.0,1037.4412291619037,497.6124440136338,903.0,73.0,716.8923663742189,485.8582406784994,589.0,53.0,332.17650796372504,346.96842303613727,240.0,28.0
P015098,CBK309601,all,237.44793257506478,176.57399215674607,205.0,21.0,1142.3842858764542,1265.962545773133,831.0,173.0,1025.3079216201797,514.1996154509508,885.0,73.0,719.2946754972565,520.0080922872102,580.0,54.0,343.9064721063227,363.18897352932873,246.0,30.0
P015098,CBK309639,C06,282.8502386497866,261.1256946574293,215.0,24.0,1200.9825107405502,1171.6948510266864,771.0,156.0,1364.0730993750954,732.5412161967467,984.0,198.0,985.5763164913885,770.3290764686418,664.0,129.0,559.3726284341183,601.1411060099359,309.0,79.0
P015098,CBK309639,F23,262.0788251362216,242.524796174322,204.0,22.0,1803.0364906740588,1218.343394430262,1370.0,189.0,1259.2011341878144,653.1571925953576,952.0,138.0,868.3012322816644,646.6223271568307,623.0,94.0,498.24047048849263,538.3055969621291,290.0,58.0
P015098,CBK309639,L10,294.1527939481405,282.9641868555909,216.0,25.0,1557.7887221364883,1390.9306756325545,990.0,222.0,1649.4764209914647,819.5033551080878,1263.0,331.0,1216.0562567634506,926.8395343938835,843.0,190.0,635.4220204141899,650.607229295456,370.0,110.0
P015098,CBK309639,all,279.69395257804956,263.0607972585375,211.0,24.0,1520.6025745170325,1287.7922072069703,1174.0,372.0,1424.2502181847915,756.3962869833646,1076.0,251.0,1023.3112685121679,802.7372984520734,718.0,162.0,564.3450397789336,601.0767527249192,319.0,83.0
P015098,CBK309655,E08,234.15937445225575,181.07075412552115,203.0,20.0,885.9950041199893,1168.833360737664,589.0,72.0,1093.1926048096707,421.95638071151427,965.0,84.0,820.4745917162018,461.1564734258146,692.0,66.0,372.7956026853757,299.0636622982633,286.0,36.0
