plate,compound,mean_C1,std_C1,median_C1,mad_C1,mean_C2,std_C2,median_C2,mad_C2,mean_C3,std_C3,median_C3,mad_C3,mean_C4,std_C4,median_C4,mad_C4,mean_C5,std_C5,median_C5,mad_C5,mean_C6,std_C6,median_C6,mad_C6
P015084,CBK201093,10857.933,761.6451,10882.0,483.0,10860.539,760.2512,10890.0,483.0,10857.861,755.15936,10890.0,480.0,10855.244,756.2874,10887.0,480.0,10847.167,765.0575,10883.0,486.0,10847.547,765.19275,10885.0,486.0
P015084,CBK228145,12539.6455,1297.3688,12645.0,930.0,12538.2705,1291.8433,12650.0,927.0,12537.544,1287.6259,12652.0,926.0,12536.239,1289.6602,12650.0,928.0,12535.157,1293.3989,12646.0,929.0,12535.302,1293.8986,12644.0,929.0
P015084,CBK277955,12241.07,829.659,12234.0,560.0,12239.777,823.0887,12233.0,557.0,12238.975,817.2514,12231.0,554.0,12237.996,817.5293,12227.0,554.0,12234.459,821.461,12223.0,555.0,12236.246,822.24945,12228.0,556.0
P015084,CBK277972,12294.976,879.8123,12391.0,560.0,12291.885,874.316,12386.0,557.0,12289.947,871.3044,12383.0,556.0,12288.525,873.90137,12382.0,556.0,12287.1,877.10144,12380.0,557.0,12284.686,877.08026,12377.0,556.0
P015084,CBK278064,11435.297,1184.1592,11339.0,905.0,11431.636,1183.9397,11330.0,904.0,11429.054,1182.2487,11321.0,903.0,11431.544,1177.6893,11318.0,898.0,11430.046,1178.1858,11312.0,896.0,11428.065,1180.1238,11307.0,897.0
P015084,CBK288259,10966.929,1662.4852,10468.0,1098.0,10965.819,1660.6177,10463.0,1094.0,10964.271,1659.2766,10458.0,1090.0,10963.649,1660.1667,10458.0,1094.0,10962.936,1661.1704,10458.0,1097.0,10961.496,1661.6837,10458.0,1099.0
P015084,CBK288281,12576.619,804.07733,12538.0,558.0,12573.704,793.1424,12538.0,554.0,12573.08,788.12726,12534.0,552.0,12573.96,790.73456,12531.0,553.0,12575.058,797.5111,12532.0,556.0,12570.871,795.844,12529.0,555.0
P015084,CBK288284,10966.442,899.5444,10947.0,693.0,10967.337,900.22534,10947.0,692.0,10961.551,891.28955,10944.0,687.0,10959.583,890.619,10942.0,686.0,10959.963,892.82886,10942.0,687.0,10964.921,896.6187,10947.0,693.0
P015084,CBK288285,12098.916,866.65283,12077.0,550.0,12096.522,861.17584,12072.0,547.0,12105.151,845.789,12074.0,537.0,12110.109,839.55304,12074.0,533.0,12111.615,848.1748,12070.0,537.0,12107.85,852.76764,12063.0,541.0
P015084,CBK288286,13326.329,1013.2326,13317.0,612.0,13320.244,1002.79596,13310.0,605.0,13326.822,993.5808,13316.0,592.0,13341.253,991.82477,13334.0,589.0,13331.539,998.1907,13322.0,597.0,13321.368,1001.8391,13306.0,604.0
P015084,CBK288288,12338.001,965.7711,12404.0,675.0,12337.977,958.03656,12404.0,670.0,12337.848,952.7642,12403.0,666.0,12334.932,951.66064,12401.0,664.0,12331.252,954.1358,12396.0,666.0,12327.541,955.9171,12391.0,669.0
P015084,CBK288349,12014.937,2104.16,11963.0,1895.0,12012.591,2100.563,11959.0,1894.0,12011.189,2100.3677,11951.0,1896.0,12007.868,2100.338,11942.0,1892.0,12007.734,2104.3677,11938.0,1892.0,12005.246,2104.0369,11935.0,1892.0
P015084,CBK290052,13362.226,1569.5221,13164.0,1157.0,13355.053,1556.9198,13162.0,1152.0,13347.119,1544.8828,13158.0,1146.0,13339.921,1537.0167,13155.0,1145.0,13334.557,1531.6162,13156.0,1145.0,13328.225,1526.0267,13151.0,1143.0
P015084,CBK290334,11975.461,1809.9669,12615.0,1165.0,11978.213,1801.2898,12615.0,1151.0,11980.96,1801.3005,12618.0,1141.0,11976.91,1799.9281,12617.0,1134.0,11975.758,1800.8944,12614.0,1138.0,11976.056,1800.0624,12613.0,1139.0
P015084,CBK290684,12162.946,1173.5458,12202.0,849.0,12160.297,1169.2466,12200.0,843.0,12159.538,1166.9393,12200.0,841.0,12162.384,1168.2599,12211.0,844.0,12163.077,1170.592,12211.0,847.0,12166.957,1175.2295,12215.0,854.0
P015084,CBK290766,13173.025,1112.0645,13297.0,787.0,13170.373,1109.2006,13295.0,785.0,13174.023,1104.0033,13301.0,772.0,13171.848,1103.1315,13299.0,768.0,13161.677,1101.5345,13280.0,769.0,13154.721,1097.6482,13275.0,765.0
P015084,CBK290770,12409.952,1886.2684,12404.0,1326.0,12403.847,1878.281,12403.0,1327.0,12399.625,1875.3901,12401.0,1325.0,12397.325,1877.0807,12401.0,1328.0,12396.184,1876.34,12400.0,1330.0,12397.203,1881.0106,12408.0,1333.0
P015084,CBK290772,12728.188,1603.3917,12698.0,1325.0,12726.131,1598.9825,12696.0,1321.0,12730.749,1595.8285,12712.0,1321.0,12744.47,1596.5515,12760.0,1330.0,12743.028,1599.0193,12759.0,1331.0,12738.125,1599.9683,12749.0,1332.0
P015084,CBK290801,13020.123,1845.4009,12328.0,1047.0,13014.971,1838.1508,12323.0,1041.0,13013.733,1835.7515,12315.0,1036.0,13013.123,1835.6609,12312.0,1036.0,13012.406,1837.1865,12314.0,1040.0,13017.863,1845.0128,12315.0,1041.0
P015084,CBK290829,13298.695,961.4883,13360.0,688.0,13294.277,955.1164,13353.0,683.0,13290.791,953.4563,13345.0,683.0,13289.926,970.3886,13348.0,688.0,13284.298,981.9221,13346.0,691.0,13282.071,983.1969,13344.0,691.0
P015084,CBK291084,12468.481,1155.0038,12356.0,838.0,12464.4,1150.2543,12351.0,832.0,12465.816,1147.517,12351.0,830.0,12462.067,1149.5839,12346.0,831.0,12463.475,1149.3676,12347.0,825.0,12463.251,1153.7314,12347.0,825.0
P015084,CBK293886,11441.745,861.4388,11427.0,604.0,11443.852,857.2365,11426.0,605.0,11440.328,852.8299,11420.0,600.0,11441.351,854.6233,11420.0,601.0,11444.748,857.6039,11427.0,605.0,11443.193,857.5086,11426.0,606.0
P015084,CBK303888,11362.389,1342.1287,11204.0,986.0,11364.81,1340.1671,11210.0,986.0,11365.107,1336.0677,11210.0,982.0,11367.084,1338.9696,11215.0,996.0,11365.484,1339.0212,11218.0,994.0,11362.935,1338.4882,11216.0,989.0
P015084,CBK308101,12098.936,931.2952,12200.0,646.0,12097.053,927.8336,12197.0,644.0,12096.204,925.1885,12196.0,643.0,12089.174,925.6105,12186.0,643.0,12085.426,927.06177,12183.0,643.0,12081.492,928.7524,12178.0,644.0
P015084,CBK308652,11568.022,1020.52484,11563.0,738.0,11569.839,1014.9293,11565.0,733.0,11572.598,1009.54803,11568.0,731.0,11570.931,1017.3864,11563.0,736.0,11564.98,1017.9226,11559.0,734.0,11565.141,1020.3896,11558.0,739.0
P015084,CBK308709,13449.109,1876.8478,12865.0,1221.0,13446.548,1873.6842,12855.0,1212.0,13445.282,1873.4735,12849.0,1211.0,13442.452,1877.9146,12840.0,1211.0,13445.688,1875.7765,12843.0,1210.0,13447.109,1874.3473,12845.0,1209.0
P015084,CBK308864,12096.429,2046.2719,12817.0,1267.0,12097.446,2045.198,12823.0,1260.0,12095.032,2040.7119,12823.0,1248.0,12093.952,2041.469,12821.0,1248.0,12094.197,2040.8528,12814.0,1256.0,12098.668,2043.4364,12814.0,1260.0
P015084,CBK308980,13247.151,2886.3877,12310.0,1784.0,13245.625,2882.9917,12307.0,1781.0,13246.076,2881.7695,12306.0,1781.0,13244.358,2883.1326,12305.0,1786.0,13243.345,2883.4973,12304.0,1786.0,13248.203,2879.3108,12303.0,1766.0
P015084,CBK309086,11970.081,970.0163,11880.0,656.0,11970.315,960.6357,11878.0,650.0,11968.217,957.24835,11878.0,651.0,11968.775,960.5974,11878.0,654.0,11966.064,964.8935,11873.0,655.0,11967.597,970.04236,11872.0,659.0
P015084,CBK309507,11921.176,1142.8298,11841.0,816.0,11916.64,1137.0372,11841.0,814.0,11905.569,1147.1519,11838.0,815.0,11903.219,1149.2567,11835.0,815.0,11902.502,1151.0919,11834.0,816.0,11900.756,1151.1741,11832.0,816.0
P015084,CBK309653,12787.561,1205.5682,12610.0,805.0,12785.137,1200.8922,12605.0,801.0,12783.938,1197.3097,12602.0,803.0,12782.47,1199.5559,12599.0,805.0,12781.702,1202.4531,12598.0,806.0,12783.155,1202.165,12604.0,805.0
P015084,dmso,11589.293,2007.4878,11148.0,1128.0,11584.892,1994.0807,11146.0,1124.0,11588.756,2001.4172,11147.0,1123.0,11591.327,2007.403,11146.0,1126.0,11591.63,2009.9219,11147.0,1130.0,11589.042,2008.6229,11148.0,1131.0
P015084,plate,12293.482,1651.3259,12220.0,1061.0,12291.385,1645.7524,12219.0,1057.0,12290.683,1643.5741,12218.0,1056.0,12290.374,1644.5726,12218.0,1057.0,12288.422,1645.7126,12216.0,1058.0,12287.361,1645.6779,12215.0,1058.0
P015085,CBK006628,10518.477,1143.1403,10467.0,849.0,10517.947,1140.4729,10470.0,850.0,10518.02,1140.798,10465.0,850.0,10515.685,1139.7721,10464.0,851.0,10514.3125,1142.2937,10461.0,852.0,10513.627,1143.2858,10459.0,852.0
P015085,CBK018513,11830.517,832.0321,11851.0,553.0,11829.5205,821.8213,11850.0,544.0,11828.757,815.2928,11846.0,539.0,11828.033,818.1766,11841.0,541.0,11826.88,824.4204,11839.0,546.0,11826.035,825.7001,11839.0,547.0
P015085,CBK041779,10825.676,2417.5903,9629.0,791.0,10813.232,2399.8494,9624.0,784.0,10806.326,2391.4314,9619.0,779.0,10791.412,2369.991,9618.0,781.0,10779.6,2356.4395,9618.0,787.0,10769.963,2344.421,9618.0,790.0
P015085,CBK200550,11791.5205,1189.0991,11832.0,914.0,11792.574,1186.7539,11834.0,914.0,11790.394,1182.6532,11831.0,912.0,11789.482,1182.8235,11832.0,911.0,11788.527,1184.4862,11830.0,912.0,11788.043,1185.3303,11829.0,912.0
P015085,CBK200551,11233.848,1375.7311,11410.0,1157.0,11232.855,1374.8383,11409.0,1157.0,11231.983,1373.8236,11408.0,1157.0,11231.043,1373.6744,11407.0,1156.0,11230.305,1374.4507,11407.0,1156.0,11229.7295,1374.7344,11407.0,1157.0
P015085,CBK200716,11605.876,1263.6515,11829.0,1012.0,11604.714,1263.4545,11828.0,1011.0,11595.029,1267.4585,11826.0,1005.0,11591.606,1269.7288,11818.0,1006.0,11588.802,1272.5034,11811.0,1010.0,11592.245,1268.1951,11807.0,1002.0
P015085,CBK201011,9472.228,686.65967,9420.0,451.0,9471.384,681.65106,9418.0,449.0,9470.811,678.0681,9416.0,446.0,9469.813,680.008,9413.0,446.0,9469.112,683.37244,9413.0,448.0,9467.959,684.0773,9412.0,450.0
P015085,CBK201093,11447.732,874.2255,11402.0,655.0,11446.746,872.2514,11401.0,654.0,11445.909,870.32416,11400.0,653.0,11447.326,872.6477,11401.0,653.0,11443.773,871.1539,11399.0,652.0,11450.92,877.69324,11402.0,658.0
