plate,compound,mean_C1,std_C1,median_C1,mad_C1,mean_C2,std_C2,median_C2,mad_C2,mean_C3,std_C3,median_C3,mad_C3,mean_C4,std_C4,median_C4,mad_C4,mean_C5,std_C5,median_C5,mad_C5
P015094,CBK289987,265.14294,224.52641,212.0,23.0,1017.753,1017.40063,669.0,139.0,1278.4042,687.2607,953.0,146.0,879.11597,656.8649,631.0,102.0,509.9235,552.2429,295.0,63.0
P015094,CBK290205,287.866,264.03024,216.0,25.0,1155.1782,1155.7194,714.0,172.0,1369.7203,759.5585,1003.0,265.0,989.85736,789.92566,671.0,161.0,601.51636,639.35626,334.0,100.0
P015094,CBK290351,240.70287,203.97412,199.0,21.0,1064.359,1148.8795,725.0,179.0,1265.1665,747.2125,989.0,224.0,860.08026,684.5133,650.0,153.0,470.08865,547.2005,285.0,61.0
P015094,CBK290352,274.4117,246.73938,214.0,24.0,1088.6195,1054.7798,696.0,130.0,1227.1824,666.6773,896.0,146.0,864.9952,662.0722,599.0,101.0,530.5781,575.68634,299.0,67.0
P015094,CBK290655,252.02277,207.8254,209.0,22.0,1027.8628,1096.9426,675.0,114.0,1132.6926,636.5499,863.0,101.0,772.024,584.13617,563.0,73.0,467.50632,561.45844,267.0,44.0
P015094,CBK290883,273.25177,244.87276,213.0,24.0,1106.055,1157.0327,665.0,136.0,1283.5142,700.45447,941.0,171.0,893.66473,686.173,626.0,116.0,534.7513,580.7176,303.0,70.0
P015094,CBK290993,270.67743,234.36852,216.0,24.0,1143.4081,1150.8905,761.0,161.0,1350.1191,765.75085,1045.0,254.0,947.99884,753.1207,689.0,159.0,549.4819,634.8142,311.0,76.0
P015094,CBK308108,277.7707,245.7414,215.0,24.0,1028.7189,1043.528,655.0,142.0,1317.2566,755.62256,933.0,193.0,930.9709,744.6604,626.0,130.0,565.8514,623.524,309.0,78.0
P015094,CBK308321,264.72675,223.5833,212.0,23.0,1005.79614,1027.2146,664.0,144.0,1187.96,635.97003,886.0,135.0,797.7182,570.88806,579.0,92.0,491.10077,536.33496,280.0,58.0
P015094,CBK308723,276.00223,252.10738,214.0,24.0,1167.3541,1158.2881,761.0,185.0,1324.0432,701.29944,1025.0,230.0,936.0232,724.18884,689.0,155.0,558.5126,612.908,324.0,83.0
P015094,CBK308811,269.70087,239.26372,212.0,23.0,1032.8599,1036.1581,664.0,138.0,1202.8573,646.58606,890.0,152.0,838.1698,630.8447,594.0,105.0,517.5391,572.5699,291.0,64.0
P015094,CBK308846,272.87057,243.7728,212.0,24.0,1129.1248,1244.1179,680.0,157.0,1234.1926,682.84094,899.0,161.0,853.94196,670.9899,593.0,109.0,522.6249,591.5206,289.0,68.0
P015094,CBK309255,277.3214,252.43593,213.0,24.0,1093.8494,1167.4977,684.0,148.0,1268.2908,697.513,920.0,175.0,888.13416,689.1666,609.0,114.0,543.8585,597.5192,297.0,72.0
P015094,CBK309483,243.37772,175.06369,208.0,21.0,1033.097,1126.3582,662.0,117.0,1148.5928,645.4454,854.0,114.0,786.8317,616.49097,563.0,81.0,502.04474,616.3667,278.0,52.0
P015094,dmso,273.29236,236.9061,214.0,24.0,1036.8279,1010.4181,684.0,147.0,1361.3281,690.4016,1027.0,175.0,947.6829,676.1067,681.0,115.0,521.69055,565.11633,292.0,67.0
P015095,CBK041804,300.22083,282.55408,212.0,26.0,952.5932,933.9487,609.0,190.0,1726.0991,896.64984,1535.0,544.0,1197.9243,860.31696,890.0,250.0,705.25824,720.0943,436.0,166.0
P015095,CBK277926,285.20605,261.94806,209.0,25.0,952.02594,1105.6361,596.0,155.0,1754.4408,971.6375,1445.0,479.0,1186.1296,872.4452,859.0,228.0,672.6383,723.84296,385.0,137.0
P015095,CBK277950,269.55487,220.32863,214.0,24.0,917.03156,1018.1409,546.0,143.0,1569.6365,887.11456,1171.0,313.0,1046.4946,770.16895,747.0,175.0,645.3128,725.12695,331.0,98.0
P015095,CBK277970,298.83908,283.42117,212.0,26.0,1004.526,993.25494,640.0,182.0,1730.0809,905.2222,1527.0,545.0,1167.7499,829.8664,875.0,249.0,686.01965,711.94836,420.0,161.0
P015095,CBK278031,258.0578,215.2269,205.0,22.0,1032.7401,1044.993,706.0,204.0,1698.5681,884.6906,1439.0,429.0,1120.5244,799.2394,842.0,197.0,691.0911,839.1015,387.0,134.0
P015095,CBK278729,281.91016,265.66534,207.0,24.0,983.33105,1053.3354,635.0,189.0,1659.854,922.5861,1199.0,307.0,1162.154,886.63293,802.0,179.0,647.1617,729.37964,353.0,108.0
P015095,CBK289918H,275.3295,239.30804,210.0,24.0,985.1672,1079.2393,618.0,153.0,1799.0468,1185.2339,1287.0,312.0,1468.5801,1722.3416,909.0,217.0,660.19763,738.9702,346.0,102.0
P015095,CBK289987,285.94424,260.6261,210.0,25.0,860.34564,911.8865,550.0,154.0,1692.9407,912.63367,1395.0,469.0,1118.2733,787.1264,821.0,222.0,648.79846,695.13513,371.0,128.0
P015095,CBK290205,295.2767,271.15552,214.0,26.0,1054.8118,1158.1343,625.0,216.0,1854.0867,987.1889,1572.0,503.0,1395.8207,1238.026,941.0,239.0,713.9912,739.04083,419.0,147.0
P015095,CBK290351,276.63358,264.956,199.0,23.0,884.8947,909.62714,579.0,161.0,1693.5154,865.41003,1438.0,448.0,1133.987,785.1294,840.0,207.0,647.2131,681.57733,382.0,135.0
P015095,CBK290352,307.99872,297.27972,214.0,27.0,1007.63983,950.81726,673.0,200.0,1753.6227,894.5698,1570.0,548.0,1184.9309,822.0448,899.0,254.0,710.65704,734.19464,440.0,178.0
P015095,CBK290655,265.60568,232.37874,209.0,23.0,886.01294,981.1487,602.0,164.0,1688.1821,867.0769,1297.0,242.0,1129.1346,774.5806,850.0,154.0,588.38965,678.7654,327.0,81.0
P015095,CBK290883,274.32056,248.96768,207.0,24.0,876.4692,900.2302,574.0,121.0,1618.1957,860.1091,1170.0,250.0,1100.7604,784.4951,784.0,156.0,597.08734,624.63214,333.0,90.0
P015095,CBK290993,267.79657,230.5956,208.0,23.0,826.1865,903.12506,537.0,140.0,1631.5344,870.40045,1210.0,312.0,1065.838,743.9603,774.0,170.0,608.31885,676.3045,333.0,96.0
P015095,CBK308108,289.1889,270.251,211.0,25.0,950.01965,912.6982,614.0,150.0,1734.3875,884.69977,1352.0,375.0,1172.7113,804.2568,851.0,194.0,651.8985,701.8307,364.0,122.0
P015095,CBK308321,303.14728,308.89667,213.0,26.0,974.7567,932.48724,643.0,176.0,1805.1722,927.41016,1607.0,569.0,1202.5675,816.70105,907.0,254.0,700.7179,710.0019,428.0,167.0
P015095,CBK308723,286.48007,262.7781,210.0,25.0,945.9012,930.6429,607.0,156.0,1635.4501,824.85864,1289.0,361.0,1104.9602,747.22314,805.0,188.0,635.2211,668.37195,357.0,121.0
P015095,CBK308811,306.0421,290.01553,214.0,27.0,1035.6628,1001.6934,676.0,208.0,1836.5454,919.54034,1679.0,597.0,1234.005,848.04126,946.0,271.0,725.43945,745.21204,456.0,187.0
P015095,CBK308846,280.84677,262.5986,209.0,24.0,833.7871,948.1431,531.0,142.0,1537.7002,831.12,1137.0,272.0,1017.86115,751.4673,739.0,156.0,587.57117,634.59314,325.0,92.0
P015095,CBK309255,285.33768,267.77393,208.0,25.0,892.4076,884.41724,576.0,144.0,1712.6111,906.3347,1295.0,368.0,1174.9103,840.7666,837.0,198.0,645.26184,684.1858,356.0,112.0
P015095,CBK309483,251.28865,194.75621,205.0,22.0,913.7807,1025.5562,580.0,175.0,1604.7798,875.9869,1162.0,300.0,1054.6329,781.9762,753.0,168.0,643.4168,734.45215,344.0,107.0
P015095,dmso,296.0558,273.92322,213.0,26.0,878.1446,812.9262,609.0,169.0,1885.0525,898.8115,1662.0,508.0,1266.1777,819.5034,968.0,236.0,659.7084,693.23334,398.0,148.0
P015096,CBK041256,199.40854,61.33263,196.0,18.0,714.8697,546.3773,576.0,107.0,780.8645,151.02266,772.0,53.0,529.168,139.82579,518.0,40.0,223.44551,91.96192,216.0,20.0
P015096,CBK041519,263.99213,231.9356,207.0,23.0,1004.08435,893.4288,714.0,310.0,1350.4847,688.67535,1086.0,265.0,895.9532,598.78143,689.0,142.0,516.2508,540.8488,308.0,69.0
P015096,CBK041619,219.32645,147.47214,197.0,20.0,916.078,833.81287,688.0,170.0,975.3337,365.73895,901.0,96.0,687.87213,417.18796,598.0,67.0,292.42157,244.14172,236.0,27.0
P015096,CBK041675,286.87915,500.54602,206.0,24.0,1457.0581,1122.0835,1149.0,263.0,1400.726,744.63617,1048.0,227.0,1019.56433,816.5963,695.0,145.0,573.7323,629.4682,309.0,79.0
P015096,CBK042154,202.67987,101.54154,194.0,18.0,893.9046,767.6697,812.0,175.0,831.3285,254.22725,803.0,62.0,569.0462,274.98257,536.0,45.0,239.75073,175.45532,219.0,21.0
P015096,CBK200838,254.87721,224.31369,200.0,22.0,1438.8903,1078.9669,1186.0,314.0,1339.3584,701.1546,1008.0,174.0,961.0629,751.32623,670.0,117.0,533.6501,591.2841,297.0,66.0
P015096,CBK200860,263.0716,229.17659,206.0,23.0,1100.73,1108.3079,732.0,201.0,1371.4696,758.67737,980.0,164.0,1011.1979,835.094,664.0,116.0,556.7185,617.0739,303.0,68.0
P015096,CBK200927,270.00354,237.58165,211.0,23.0,1057.4122,1115.9695,650.0,151.0,1391.0298,790.3512,982.0,169.0,1049.2759,900.6121,672.0,118.0,577.1914,638.346,317.0,73.0
P015096,CBK290848,266.1142,241.83258,204.0,23.0,1500.3538,1156.421,1238.0,336.0,1327.4275,719.98785,959.0,178.0,957.2466,770.6306,639.0,123.0,561.80444,617.7644,306.0,77.0
P015096,CBK307772,258.4796,226.85751,203.0,22.0,1289.6646,1106.0975,1053.0,438.0,1317.5585,748.07416,949.0,157.0,962.48315,807.33185,637.0,110.0,542.0997,602.0308,300.0,67.0
P015096,CBK307773,274.6161,249.59373,207.0,24.0,1347.7002,1214.9138,988.0,368.0,1478.1403,788.73395,1082.0,269.0,1079.6974,848.5265,722.0,164.0,616.57196,659.0334,333.0,95.0
P015096,CBK307956,254.21777,220.44026,201.0,22.0,1329.954,1161.035,1032.0,350.0,1300.5853,704.76215,961.0,160.0,935.0349,755.1244,640.0,110.0,523.0836,589.4199,289.0,63.0
P015096,CBK308519,268.63968,245.02972,204.0,23.0,1474.3899,1237.6133,1102.0,288.0,1364.524,729.07855,989.0,196.0,982.13464,781.55774,658.0,130.0,571.0004,630.69714,307.0,81.0
P015096,CBK308608,260.52835,224.47748,205.0,23.0,1193.444,1127.3749,874.0,285.0,1317.1433,720.84656,954.0,159.0,948.36707,752.8426,641.0,111.0,554.6595,605.311,309.0,68.0
P015096,CBK308887,270.8607,246.38107,207.0,24.0,1397.8627,1202.6531,1142.0,474.0,1394.2572,782.1546,1027.0,261.0,1020.931,858.8718,681.0,164.0,581.4037,650.9583,311.0,85.0
P015096,CBK309090,267.8414,235.88768,208.0,23.0,1159.035,1157.8738,732.0,180.0,1375.8202,746.68866,1000.0,190.0,1002.0469,804.1908,676.0,132.0,563.6827,613.18506,309.0,74.0
P015096,CBK309098,263.73398,225.89424,209.0,23.0,1007.70544,1220.3556,563.0,112.0,1270.4789,776.89307,911.0,129.0,951.0559,831.27826,612.0,92.0,560.4413,669.38245,296.0,56.0
P015096,CBK309258,202.78004,67.00871,198.0,19.0,568.2688,567.65424,521.0,51.0,734.80695,170.87067,722.0,52.0,502.025,172.64276,487.0,39.0,229.35112,113.30658,220.0,21.0
P015096,CBK309349,205.28366,103.84339,197.0,19.0,718.81995,615.0496,679.0,109.0,856.48584,230.23878,841.0,106.0,578.6304,202.90013,560.0,70.0,229.03181,117.48131,217.0,21.0
P015096,CBK309537,261.79605,223.20113,206.0,23.0,1108.4266,1097.9397,716.0,189.0,1380.7599,754.4712,997.0,191.0,967.36926,749.84534,662.0,126.0,549.97107,603.5279,304.0,75.0
P015096,dmso,274.22946,463.71298,207.0,23.0,1305.8029,1044.4053,1037.0,379.0,1450.1727,745.0965,1084.0,202.0,1039.6265,787.57697,722.0,133.0,553.0122,601.70734,304.0,74.0
P015097,CBK041256,196.13985,75.77689,190.0,18.0,997.3248,463.20996,966.0,155.0,883.18146,222.30217,860.0,66.0,596.5163,195.33228,576.0,48.0,220.13354,140.43915,208.0,20.0
P015097,CBK041519,269.22806,248.48872,200.0,23.0,1200.558,599.4985,1142.0,191.0,1466.2588,714.9701,1127.0,270.0,917.161,548.13214,709.0,143.0,535.7307,564.24945,307.0,86.0
P015097,CBK041619,225.50084,170.01306,195.0,19.0,1103.9777,675.118,1002.0,158.0,1080.3958,501.82846,933.0,85.0,743.7789,484.45474,614.0,61.0,312.66467,271.11005,235.0,29.0
P015097,CBK041675,287.04877,283.24197,203.0,24.0,1555.4225,809.26447,1364.0,225.0,1584.4355,863.58246,1174.0,341.0,1083.6036,804.42725,751.0,196.0,635.51056,689.2608,333.0,112.0
P015097,CBK042154,211.23,145.20615,191.0,18.0,1143.2822,716.2786,1062.0,121.0,910.8413,375.11258,840.0,64.0,622.38306,359.56943,556.0,47.0,258.42416,233.8081,218.0,23.0
P015097,CBK200838,273.4339,264.5681,203.0,23.0,1423.4535,959.1299,1236.0,237.0,1692.3949,933.70905,1360.0,426.0,1210.2272,987.43317,867.0,246.0,614.69824,668.922,338.0,98.0
P015097,CBK200860,276.87268,262.89563,204.0,24.0,1315.6984,856.7968,1085.0,222.0,1556.7346,864.5348,1104.0,277.0,1057.2853,786.5529,725.0,167.0,603.4947,657.1636,325.0,97.0
P015097,CBK200927,278.1925,260.8631,205.0,24.0,1268.5151,932.09375,1024.0,266.0,1608.7251,921.80725,1111.0,279.0,1128.4377,881.86633,742.0,171.0,639.90063,697.5024,337.0,99.0
P015097,CBK290848,286.61057,276.81827,204.0,25.0,1424.6693,935.5812,1219.0,260.0,1708.9456,947.3551,1399.0,473.0,1175.0236,886.2507,823.0,225.0,673.4067,725.86316,380.0,136.0
P015097,CBK307772,278.24823,266.60144,202.0,24.0,1559.1691,792.05646,1357.0,209.0,1605.2413,878.2785,1135.0,285.0,1086.1102,798.9633,744.0,171.0,614.5258,672.8291,324.0,102.0
P015097,CBK307773,296.20724,293.2055,205.0,26.0,1667.9296,886.7135,1395.0,219.0,1729.4745,892.61163,1523.0,545.0,1184.279,849.5668,884.0,268.0,687.9456,716.29614,423.0,174.0
P015097,CBK307956,267.01212,246.82303,201.0,23.0,1254.4147,835.5782,1028.0,277.0,1476.4999,871.7536,1012.0,197.0,1035.0513,835.8452,678.0,133.0,587.26086,654.2335,310.0,78.0
P015097,CBK308519,280.87598,267.6664,205.0,24.0,1299.348,807.80365,1085.0,196.0,1637.1565,886.8784,1178.0,302.0,1123.8586,831.93774,772.0,178.0,629.66376,675.4021,335.0,102.0
P015097,CBK308608,290.9684,281.95493,206.0,25.0,1366.33,804.3062,1158.0,232.0,1674.4988,897.27454,1400.0,473.0,1155.3751,850.553,816.0,224.0,663.6395,696.0638,384.0,142.0
P015097,CBK308887,283.18225,279.02237,204.0,24.0,1421.6132,907.306,1274.0,280.0,1689.5955,924.1574,1236.0,352.0,1164.5809,870.1315,799.0,192.0,639.3853,687.94714,343.0,108.0
P015097,CBK309090,281.32977,266.908,203.0,24.0,1424.4034,975.3988,1175.0,220.0,1690.6125,932.47296,1294.0,380.0,1162.7931,874.8754,806.0,196.0,656.2453,709.67035,364.0,120.0
P015097,CBK309098,282.2542,273.36624,204.0,24.0,1318.3054,858.48566,1074.0,173.0,1567.6838,913.72974,1094.0,257.0,1105.9194,856.92566,724.0,160.0,658.9985,744.1885,331.0,98.0
P015097,CBK309258,196.93896,82.83596,190.0,18.0,1045.2374,521.90137,1041.0,147.0,861.1761,226.35959,837.0,63.0,581.4773,200.07335,559.0,46.0,223.14023,183.80156,209.0,20.0
P015097,CBK309349,200.44005,88.053215,192.0,18.0,1003.24384,505.56863,908.0,153.0,894.3831,230.57721,868.0,61.0,602.36115,208.28275,577.0,45.0,230.66321,174.80038,215.0,21.0
P015097,CBK309537,274.85843,258.2008,202.0,24.0,1419.8663,753.2383,1244.0,231.0,1606.745,840.37683,1233.0,352.0,1055.9432,729.3271,764.0,182.0,608.5524,642.81866,344.0,112.0
P015097,dmso,279.29758,264.90024,204.0,24.0,1571.0262,975.6759,1412.0,258.0,1805.0985,991.1922,1432.0,435.0,1258.2802,958.055,893.0,228.0,638.8358,692.1352,356.0,118.0
P015098,CBK011613,288.9776,275.89633,214.0,25.0,1362.3124,1343.0598,887.0,207.0,1358.8527,755.3867,983.0,203.0,1006.5077,828.7509,666.0,137.0,573.7188,659.74677,308.0,82.0
P015098,CBK016139,225.92299,169.52618,203.0,20.0,1002.1331,1079.3412,769.0,157.0,1010.32117,660.6768,852.0,78.0,706.36865,661.16907,561.0,57.0,347.09616,456.57178,242.0,27.0
P015098,CBK017131,278.43112,258.14453,212.0,24.0,1368.929,1173.1785,980.0,259.0,1329.1079,699.1087,974.0,189.0,957.88495,743.339,654.0,126.0,554.69366,603.8351,302.0,77.0
P015098,CBK041003,271.05008,250.12115,210.0,23.0,1310.5504,1179.1089,1006.0,315.0,1321.8171,711.36273,1032.0,207.0,952.95526,755.9504,684.0,133.0,524.78186,608.34766,297.0,61.0
P015098,CBK041184,221.30566,162.59877,200.0,20.0,1156.7291,1107.8325,938.0,267.0,961.6364,650.64014,810.0,60.0,673.15967,645.7597,532.0,45.0,336.4819,450.64597,234.0,26.0
P015098,CBK041506,272.99918,244.56757,212.0,24.0,1245.3965,1137.1202,822.0,148.0,1321.599,696.29443,972.0,163.0,939.89545,719.43567,650.0,112.0,530.41833,577.34863,295.0,67.0
P015098,CBK041516,254.68593,225.30853,211.0,22.0,1203.0873,1722.7893,735.0,114.0,1148.3444,674.622,890.0,103.0,818.67206,718.8391,588.0,73.0,451.03394,543.8542,270.0,42.0
P015098,CBK041585,280.74374,258.16916,212.0,24.0,1394.8512,1189.6804,1080.0,394.0,1378.5994,740.26074,987.0,209.0,987.7288,774.26855,660.0,136.0,577.8182,618.80255,317.0,88.0
P015098,CBK041678,282.15607,264.80533,211.0,24.0,1437.1892,1267.0543,1036.0,305.0,1409.87,751.30664,1027.0,244.0,1023.939,811.7608,687.0,153.0,588.83374,637.4674,319.0,94.0
P015098,CBK041720,244.83559,224.44702,205.0,21.0,1266.0414,1333.629,922.0,158.0,1128.0029,660.67236,899.0,88.0,810.14075,737.88446,594.0,65.0,429.59497,552.1023,262.0,38.0
P015098,CBK041761,238.115,203.91843,204.0,21.0,1159.0181,1272.8035,816.0,183.0,1038.9817,638.46924,839.0,89.0,742.10876,700.6744,552.0,62.0,401.70172,528.8846,253.0,33.0
P015098,CBK041770,216.13878,118.71062,204.0,20.0,993.61707,881.1887,783.0,153.0,874.2587,315.77487,815.0,65.0,601.48676,326.96518,543.0,47.0,270.16818,245.44676,225.0,23.0
P015098,CBK042178,197.84325,34.655422,196.0,18.0,253.12767,393.23605,234.0,22.0,648.17065,132.27153,642.0,48.0,445.88474,93.57233,441.0,36.0,210.49788,83.86904,205.0,19.0
P015098,CBK200593,222.99867,139.47562,202.0,20.0,1152.262,1046.6357,944.0,246.0,973.4223,466.00385,837.0,73.0,681.862,493.62463,553.0,53.0,337.33847,359.36823,241.0,29.0
P015098,CBK200898,229.07962,177.8467,204.0,20.0,1127.0011,1235.9332,761.0,176.0,1025.082,668.0955,849.0,68.0,716.1054,668.1977,557.0,51.0,363.7521,483.50552,242.0,29.0
P015098,CBK200945,271.24716,252.34904,208.0,23.0,1541.0754,1203.6929,1209.0,322.0,1448.7024,770.6644,1127.0,285.0,1021.18243,778.65265,743.0,171.0,555.35974,593.254,318.0,79.0
P015098,CBK201030,283.15048,268.06836,210.0,24.0,1574.8717,1242.748,1201.0,338.0,1360.4761,731.36536,983.0,221.0,968.16833,757.3085,653.0,140.0,573.9143,621.85254,313.0,89.0
P015098,CBK201032,240.51344,210.19698,204.0,21.0,1282.5692,1190.9268,1000.0,221.0,1107.8658,597.1558,910.0,89.0,773.0388,624.31647,597.0,65.0,394.5003,489.72626,250.0,34.0
P015098,CBK271643,283.41415,266.1276,213.0,24.0,1294.354,1284.5175,857.0,188.0,1326.2094,724.4195,964.0,185.0,975.2819,786.8626,654.0,124.0,567.4923,645.5864,309.0,76.0
P015098,CBK277909,199.74893,32.145844,198.0,19.0,560.94324,681.0819,501.0,59.0,822.76764,237.97565,797.0,60.0,624.9746,217.96996,601.0,49.0,285.0267,173.3412,267.0,27.0
P015098,CBK277937,228.8588,171.87553,205.0,20.0,917.9245,1156.2504,659.0,89.0,1076.173,724.26935,891.0,92.0,753.33997,720.1445,586.0,65.0,369.11923,494.11148,251.0,28.0
P015098,CBK277969,253.02757,220.57451,209.0,22.0,1238.5255,1683.0043,747.0,135.0,1135.7877,661.54956,911.0,98.0,812.2783,714.48846,603.0,72.0,407.55444,502.98666,258.0,36.0
P015098,CBK278004,211.42699,84.63935,204.0,19.0,728.9499,761.7552,623.0,60.0,820.5873,295.2689,778.0,57.0,566.5322,304.60605,521.0,43.0,267.21823,271.54843,228.0,23.0
P015098,CBK278120,317.43567,1024.6176,203.0,20.0,895.55334,1086.1211,669.0,78.0,972.07666,626.862,826.0,64.0,682.4809,621.6876,545.0,47.0,346.91977,476.6555,238.0,26.0
P015098,CBK289760,250.16492,210.10603,205.0,22.0,1085.3666,1047.8998,758.0,174.0,1203.1731,612.8168,958.0,158.0,871.5671,676.9602,639.0,106.0,456.1108,482.4869,276.0,47.0
P015098,CBK289882,291.23627,273.56458,215.0,25.0,1250.1301,1190.5398,791.0,170.0,1396.052,755.9773,1001.0,229.0,1025.5554,822.10486,680.0,149.0,598.7496,672.0555,322.0,92.0
P015098,CBK290012,216.64964,116.46829,201.0,20.0,1296.3872,1021.90314,1099.0,193.0,952.18134,453.28708,831.0,67.0,663.5859,487.97864,545.0,50.0,327.8337,400.84155,230.0,28.0
P015098,CBK290101,273.3364,248.87962,210.0,24.0,1383.804,1220.0348,1040.0,319.0,1309.4825,723.69525,949.0,186.0,953.57983,764.23096,638.0,125.0,580.181,652.76855,309.0,82.0
P015098,CBK290217,285.29984,280.7964,211.0,25.0,1512.0009,1189.3734,1150.0,294.0,1346.8337,702.12,1018.0,198.0,968.1107,751.07733,680.0,137.0,546.5588,624.43176,298.0,72.0
P015098,CBK290251,227.885,133.61205,208.0,21.0,1081.2261,1009.42053,749.0,211.0,984.1245,438.28796,857.0,74.0,681.6913,446.75626,565.0,55.0,338.14832,370.5991,243.0,30.0
P015098,CBK290287,285.31738,274.81192,210.0,24.0,1572.4902,1321.4183,1133.0,273.0,1359.8826,768.3854,975.0,219.0,995.2328,820.3031,657.0,144.0,593.7831,690.3626,311.0,89.0
P015098,CBK290493,231.02103,162.9702,207.0,21.0,1214.0548,1110.6752,1004.0,227.0,1043.2308,708.79926,842.0,66.0,721.71735,656.0774,551.0,50.0,374.59598,494.83368,243.0,28.0
P015098,CBK290529,236.0769,170.79774,206.0,21.0,902.7579,960.2391,644.0,81.0,1050.9144,540.2814,877.0,83.0,703.4239,455.71414,573.0,59.0,381.65747,416.0994,257.0,34.0
P015098,CBK290588,332.30612,481.27676,238.0,33.0,1418.9315,1382.0402,1074.0,457.0,1441.2015,798.8802,1142.0,308.0,1080.4801,887.5787,773.0,206.0,588.14435,652.6814,330.0,86.0
P015098,CBK290683,226.30675,135.87993,206.0,21.0,1240.5128,1014.23956,998.0,166.0,1000.52924,453.95328,873.0,72.0,687.8109,459.44824,573.0,54.0,325.65253,342.30835,236.0,28.0
P015098,CBK291076,273.36276,250.3281,210.0,24.0,1334.892,1120.0176,1043.0,395.0,1391.7625,732.2745,1043.0,228.0,982.7937,752.7195,683.0,134.0,551.39386,592.3873,307.0,76.0
P015098,CBK303985,256.8167,225.99977,204.0,22.0,768.442,1125.1187,313.0,78.0,1162.7145,646.3237,869.0,148.0,827.2076,661.116,580.0,101.0,494.47772,545.9342,280.0,60.0
P015098,CBK307747,220.10283,151.04504,201.0,20.0,1103.5344,1153.713,809.0,173.0,1041.2286,670.1602,884.0,90.0,715.3655,640.46423,581.0,62.0,333.9987,454.22284,239.0,26.0
P015098,CBK307798,284.47177,339.89407,211.0,24.0,1369.3567,1388.9572,949.0,213.0,1350.7198,738.07513,988.0,185.0,962.5026,754.7418,661.0,122.0,546.06287,590.77484,301.0,73.0
P015098,CBK307816,221.1297,148.85811,198.0,20.0,1361.2576,1171.2859,1082.0,191.0,1068.3068,518.6469,912.0,124.0,741.8117,545.845,601.0,81.0,367.90918,436.48492,255.0,34.0
P015098,CBK307964,218.81152,143.9989,201.0,20.0,982.46136,972.4593,792.0,140.0,933.03906,551.76215,814.0,59.0,647.5094,548.87225,536.0,44.0,314.6239,403.08707,229.0,24.0
P015098,CBK308090,282.30746,265.08316,212.0,24.0,1329.1884,1213.3469,1007.0,311.0,1346.0973,720.98047,985.0,190.0,946.4139,720.038,654.0,124.0,552.0782,621.4251,304.0,75.0
P015098,CBK308097,307.65796,268.52734,237.0,34.0,1495.5122,1234.1608,1150.0,285.0,1299.1648,726.06226,935.0,184.0,934.4876,760.9062,622.0,122.0,555.2359,642.8057,299.0,76.0
P015098,CBK308173,274.75974,255.01027,209.0,24.0,1542.7336,1293.3093,1138.0,304.0,1340.8545,732.87775,974.0,217.0,971.56134,786.64575,652.0,138.0,578.2178,639.9035,311.0,84.0
P015098,CBK308276,280.08936,276.7114,211.0,24.0,1210.6414,1134.758,783.0,151.0,1264.1628,774.3705,911.0,112.0,977.0486,865.785,615.0,84.0,577.25085,736.1262,288.0,50.0
P015098,CBK308359,219.74603,137.73898,203.0,20.0,888.8528,1001.8473,681.0,79.0,978.7574,610.6725,837.0,64.0,673.11426,573.88513,548.0,47.0,332.19217,439.40326,234.0,25.0
P015098,CBK308484,217.82704,192.99884,205.0,20.0,883.7774,828.14874,676.0,147.0,868.7803,338.51178,800.0,60.0,595.7811,326.44577,532.0,45.0,290.24118,302.05615,232.0,25.0
P015098,CBK308613,255.18187,211.3585,206.0,22.0,1600.4645,1267.7892,1150.0,215.0,1394.9353,732.4971,1055.0,253.0,975.5512,757.4695,689.0,148.0,608.93494,696.63226,336.0,102.0
P015098,CBK308631,289.8299,273.63196,215.0,25.0,1490.9911,1338.2988,1014.0,269.0,1521.5183,845.9339,1152.0,308.0,1142.3159,956.7632,790.0,208.0,627.2228,681.2754,357.0,111.0
P015098,CBK308819,208.00145,106.19319,199.0,19.0,569.13446,724.21136,480.0,56.0,806.0257,253.66374,775.0,60.0,551.46747,237.24472,523.0,44.0,242.42789,187.55212,218.0,21.0
P015098,CBK308876,280.65384,267.8162,210.0,24.0,1497.7346,1217.3872,1138.0,320.0,1326.936,705.118,993.0,203.0,963.5521,761.3041,665.0,133.0,561.15204,649.9601,304.0,77.0
P015098,CBK308880,217.77432,107.949066,203.0,20.0,1089.1031,1040.5304,791.0,190.0,937.3399,453.10828,819.0,69.0,664.29236,512.5337,543.0,52.0,334.59973,415.9024,239.0,28.0
P015098,CBK308966,215.11783,137.96396,199.0,19.0,1232.8383,1055.9769,1068.0,172.0,950.13995,561.5925,835.0,60.0,653.8411,547.8314,546.0,45.0,309.21768,405.84045,227.0,24.0
P015098,CBK309016,220.62947,147.61624,203.0,20.0,908.76245,978.09216,724.0,79.0,935.88684,589.5102,812.0,60.0,652.651,585.68317,536.0,45.0,318.96527,420.90756,234.0,25.0
P015098,CBK309020,202.28133,36.038166,201.0,19.0,680.7856,392.36664,665.0,88.0,776.3461,126.32312,772.0,58.0,526.42804,108.11916,521.0,42.0,214.53372,81.21251,209.0,19.0
P015098,CBK309021,201.75441,53.79722,199.0,19.0,620.53845,684.9703,513.0,78.0,844.8474,289.99164,804.0,58.0,576.17773,249.41518,539.0,44.0,254.44824,213.87035,222.0,22.0
