plate,compound,mean_C1,std_C1,median_C1,mad_C1,mean_C2,std_C2,median_C2,mad_C2,mean_C3,std_C3,median_C3,mad_C3,mean_C4,std_C4,median_C4,mad_C4,mean_C5,std_C5,median_C5,mad_C5
P015084,CBK309653,298.1036,282.51974,223.0,26.0,1290.1875,1644.7611,611.0,183.0,1498.4775,785.9298,1093.0,234.0,1139.1691,926.00854,744.0,155.0,617.58514,667.94727,329.0,94.0
P015084,dmso,303.32083,279.10327,228.0,26.0,1185.6259,1459.8815,618.0,215.0,1615.3868,785.16486,1227.0,263.0,1192.7059,890.4529,818.0,165.0,605.4993,639.8801,327.0,92.0
P015085,CBK006628,280.35718,250.18988,206.0,25.0,1342.6132,1489.8425,751.0,307.0,1722.0088,835.6274,1497.0,473.0,1253.8174,903.14874,902.0,233.0,726.6066,729.6202,424.0,154.0
P015085,CBK018513,290.26984,274.63034,207.0,25.0,1307.5604,1425.9396,767.0,291.0,1792.885,853.0502,1610.0,523.0,1283.9451,909.6806,951.0,255.0,721.83563,718.72754,449.0,169.0
P015085,CBK041779,293.50635,270.8959,210.0,26.0,1362.2941,1426.8971,806.0,289.0,1940.5027,927.11316,1753.0,574.0,1440.0891,1049.7871,1047.0,274.0,761.48517,745.67096,478.0,181.0
P015085,CBK200550,208.19014,124.05696,194.0,18.0,618.2067,988.112,476.0,54.0,1022.7565,428.80527,968.0,70.0,699.2457,429.71655,641.0,51.0,271.01813,218.3133,233.0,24.0
P015085,CBK200551,203.38016,101.43826,193.0,18.0,527.77405,732.56055,429.0,45.0,935.29004,285.7656,898.0,68.0,641.3796,304.1859,599.0,49.0,254.724,176.4942,229.0,23.0
P015085,CBK200716,275.93076,248.20108,205.0,24.0,1380.588,1555.837,730.0,280.0,1765.3718,924.7695,1367.0,391.0,1363.1428,1174.02,908.0,226.0,709.9218,733.947,403.0,132.0
P015085,CBK201011,292.07642,272.1307,208.0,26.0,1392.9127,1461.2375,831.0,328.0,1828.4353,880.12634,1669.0,569.0,1328.7826,959.0313,985.0,278.0,739.51544,741.4719,466.0,184.0
P015085,CBK201093,196.98317,66.78818,194.0,18.0,444.54007,693.67224,355.0,45.0,899.3449,258.0929,874.0,69.0,611.1686,215.82625,590.0,51.0,270.89874,184.683,237.0,26.0
P015085,CBK228145,286.5775,264.1637,207.0,25.0,1157.3519,1241.9927,681.0,260.0,1735.4827,827.5736,1505.0,466.0,1217.7899,832.9906,896.0,221.0,690.09033,698.5618,421.0,152.0
P015085,CBK277955,260.07492,246.23006,201.0,22.0,1428.4055,1810.076,741.0,289.0,1675.7078,994.5008,1339.0,390.0,1305.8583,1387.8135,880.0,226.0,661.89514,793.59485,371.0,113.0
P015085,CBK277972,245.17122,211.49445,198.0,21.0,1340.3903,1682.8699,707.0,224.0,1778.4874,1164.3386,1282.0,316.0,1494.8615,1978.2928,901.0,210.0,670.70337,812.58,362.0,105.0
P015085,CBK278064,195.28065,56.684555,193.0,18.0,481.3437,671.65216,441.0,44.0,874.83997,204.64911,862.0,66.0,590.72864,185.0191,579.0,48.0,228.19595,160.38725,218.0,21.0
P015085,CBK288259,242.78992,199.95888,200.0,21.0,981.926,1295.0952,469.0,89.0,1450.02,659.86383,1161.0,170.0,992.8224,641.1678,756.0,113.0,517.4994,541.86115,298.0,57.0
P015085,CBK288281,257.13452,216.23116,202.0,22.0,1147.2211,1581.9954,522.0,142.0,1681.151,952.71173,1249.0,281.0,1338.2476,1293.8383,853.0,180.0,644.78906,714.8418,346.0,89.0
P015085,CBK288284,196.8877,61.32396,194.0,18.0,446.01736,606.55786,402.0,43.0,932.6497,189.33989,924.0,64.0,627.00146,161.88406,617.0,47.0,239.99075,152.7906,228.0,22.0
P015085,CBK288285,231.11058,180.28685,197.0,20.0,950.8707,1596.1514,488.0,81.0,1311.0819,693.7242,1062.0,135.0,928.85394,749.077,698.0,91.0,490.58945,670.64465,281.0,43.0
P015085,CBK288286,260.43204,254.23938,201.0,21.0,1091.4863,1416.3134,547.0,134.0,1554.869,835.9851,1155.0,204.0,1090.3942,822.3535,765.0,135.0,617.56775,733.59937,322.0,76.0
P015085,CBK288288,286.08633,263.08707,207.0,25.0,1203.4757,1335.7365,686.0,268.0,1812.4603,894.17554,1578.0,517.0,1308.2427,953.02344,943.0,256.0,708.903,722.16406,427.0,158.0
